tempo,danceability,energy,instrumentalness,liveness,valence
200.238,0.677,0.655,0.276,0.162,0.146
116.914,0.623,0.716,2.54E-06,0.113,0.203
155.862,0.797,0.542,0,0.0838,0.313
120.037,0.85,0.542,0,0.0774,0.595
119.693,0.743,0.411,0,0.292,0.339
113.996,0.876,0.759,0.000675,0.475,0.271
143.026,0.665,0.827,0,0.351,0.12
139.968,0.81,0.585,0.0115,0.0959,0.281
120.16,0.618,0.743,0.0232,0.452,0.249
173.994,0.622,0.859,0,0.0797,0.296
160.028,0.674,0.646,0,0.104,0.222
190.012,0.628,0.53,0,0.0642,0.203
127.947,0.877,0.655,0,0.0948,0.119
119.904,0.585,0.895,0.00423,0.32,0.181
137.989,0.717,0.925,0,0.287,0.412
204.068,0.714,0.853,0,0.116,0.178
130.32,0.473,0.772,0,0.399,0.303
160.123,0.767,0.637,0,0.105,0.536
113.007,0.719,0.704,0,0.0753,0.0808
141.997,0.85,0.458,0,0.122,0.419
206.038,0.672,0.574,2.02E-06,0.18,0.106
189.872,0.758,0.716,9.52E-05,0.0653,0.565
148,0.76,0.774,0.000701,0.199,0.493
193.92,0.508,0.417,0.00207,0.128,0.337
152.11,0.869,0.572,0,0.103,0.658
120.011,0.985,0.525,0,0.116,0.425
149.005,0.738,0.712,0,0.0773,0.358
135.037,0.675,0.574,1.11E-05,0.108,0.482
112.002,0.876,0.726,4.02E-05,0.366,0.775
120.08,0.725,0.554,4.03E-06,0.489,0.231
129.998,0.89,0.422,0,0.0925,0.374
170.096,0.849,0.413,8.58E-05,0.106,0.458
210.438,0.695,0.686,0.0023,0.365,0.354
189.962,0.876,0.519,0,0.108,0.158
163.71,0.463,0.632,0,0.127,0.0894
146.023,0.709,0.362,0.000132,0.107,0.455
146.098,0.771,0.566,1.07E-05,0.109,0.232
192.94,0.136,0.821,0.0291,0.325,0.0362
180,0.476,0.495,0.915,0.506,0.114
115.044,0.499,0.893,1.03E-06,0.0907,0.108
135.017,0.851,0.634,0.882,0.0766,0.0399
120.229,0.241,0.928,0,0.612,0.403
119.922,0.622,0.635,7.88E-06,0.119,0.602
144.933,0.745,0.703,2.54E-06,0.095,0.402
119.989,0.855,0.659,0,0.0957,0.736
218.41,0.549,0.44,0.000779,0.0909,0.132
120.081,0.702,0.567,3.30E-05,0.359,0.195
132.022,0.53,0.732,7.35E-05,0.073,0.458
138.038,0.726,0.549,3.62E-05,0.345,0.0855
124.989,0.708,0.423,0.000113,0.136,0.0712
155.196,0.66,0.604,0.000128,0.196,0.435
117.009,0.447,0.652,0.00371,0.184,0.0367
137.961,0.278,0.47,0.00235,0.148,0.0775
154.996,0.321,0.949,0.217,0.579,0.196
149.883,0.542,0.923,0.505,0.397,0.321
151.23,0.688,0.658,1.89E-06,0.335,0.28
133.941,0.953,0.38,0,0.127,0.128
116.997,0.881,0.742,2.49E-06,0.156,0.432
112.511,0.897,0.662,0,0.534,0.389
146.027,0.705,0.619,0,0.176,0.465
116.056,0.782,0.449,4.11E-05,0.111,0.34
153.102,0.643,0.82,9.47E-06,0.101,0.266
137.98,0.73,0.581,1.30E-05,0.106,0.359
159.927,0.648,0.543,0,0.101,0.192
160.078,0.481,0.604,0,0.162,0.257
157.967,0.738,0.581,0,0.101,0.635
140.016,0.84,0.539,1.34E-06,0.124,0.07
130.022,0.936,0.704,0,0.104,0.566
132.968,0.908,0.499,0,0.078,0.114
120.021,0.925,0.628,0,0.358,0.81
140.063,0.906,0.444,6.44E-05,0.173,0.678
129.945,0.803,0.719,0,0.425,0.549
150.007,0.487,0.789,4.05E-06,0.189,0.0564
146.908,0.77,0.459,0,0.0792,0.418
125.98,0.745,0.617,0,0.389,0.185
127.108,0.887,0.627,0,0.109,0.326
147.734,0.574,0.812,0,0.15,0.488
159.914,0.681,0.608,6.40E-05,0.108,0.175
162.066,0.595,0.534,0.00157,0.107,0.134
150.01,0.72,0.424,0.0126,0.453,0.228
148.472,0.577,0.447,0.00022,0.0899,0.189
153.094,0.755,0.631,1.36E-05,0.111,0.525
162.03,0.737,0.562,0,0.0727,0.457
132.418,0.701,0.662,0,0.109,0.616
160.073,0.674,0.862,0,0.113,0.357
186.046,0.581,0.662,0,0.111,0.434
149.965,0.747,0.557,3.53E-05,0.103,0.552
134.941,0.595,0.645,1.74E-05,0.165,0.205
158.967,0.768,0.484,0,0.342,0.548
157.991,0.66,0.784,0,0.113,0.642
130.029,0.847,0.733,1.04E-05,0.151,0.202
134.021,0.744,0.674,0,0.128,0.316
139.948,0.89,0.633,0.000343,0.0993,0.425
125.022,0.861,0.448,0.000408,0.0902,0.0487
130.071,0.772,0.786,0,0.202,0.233
131.965,0.772,0.413,0,0.111,0.211
160.94,0.728,0.628,6.53E-05,0.0735,0.393
147.97,0.783,0.621,0.153,0.0909,0.411
115.007,0.759,0.73,3.06E-06,0.11,0.74
171.853,0.497,0.489,9.91E-05,0.122,0.231
154.054,0.793,0.395,1.40E-05,0.109,0.129
139.978,0.716,0.541,0,0.115,0.387
120.055,0.794,0.448,0,0.109,0.588
179.684,0.603,0.67,0,0.326,0.159
119.054,0.743,0.571,0,0.291,0.495
144.985,0.791,0.735,0,0.134,0.497
158.043,0.781,0.597,0,0.152,0.544
159.908,0.557,0.526,0,0.128,0.123
152.891,0.774,0.706,1.28E-06,0.104,0.382
126.012,0.799,0.636,0,0.106,0.439
139.976,0.712,0.778,0,0.127,0.469
159.843,0.656,0.572,0.0935,0.164,0.176
141.039,0.904,0.575,0,0.256,0.359
150.021,0.668,0.805,1.69E-06,0.139,0.31
127.05,0.964,0.487,6.57E-06,0.115,0.107
162.023,0.635,0.632,0,0.0615,0.233
132.954,0.813,0.483,0,0.0991,0.398
182.204,0.653,0.91,0,0.111,0.818
126.02,0.851,0.559,1.69E-05,0.108,0.292
143.805,0.806,0.426,0,0.133,0.0626
159.956,0.71,0.715,3.02E-06,0.289,0.449
119.923,0.717,0.436,0,0.11,0.391
153.006,0.81,0.55,5.69E-06,0.107,0.183
179.954,0.691,0.755,0.00072,0.261,0.331
127.115,0.578,0.721,0,0.329,0.662
183.016,0.63,0.399,0.174,0.234,0.0657
207.956,0.756,0.746,0,0.0999,0.0793
187.742,0.804,0.422,1.41E-06,0.137,0.157
134.022,0.89,0.607,0.000228,0.118,0.224
157.09,0.739,0.405,0.211,0.158,0.127
129.027,0.755,0.517,0,0.127,0.699
172.018,0.754,0.575,0.00131,0.276,0.491
155.053,0.756,0.452,2.99E-05,0.196,0.216
140.042,0.852,0.432,0,0.146,0.258
117.074,0.64,0.615,0,0.479,0.642
140.973,0.859,0.506,0,0.113,0.153
145.139,0.759,0.562,0,0.0979,0.706
142.047,0.925,0.575,0,0.105,0.165
167.656,0.543,0.663,0.000181,0.142,0.199
178.032,0.411,0.587,6.70E-06,0.0821,0.0763
155.188,0.635,0.793,0.747,0.113,0.281
162.02,0.741,0.479,0,0.231,0.0971
135.97,0.733,0.722,6.34E-06,0.111,0.29
173.369,0.593,0.632,0,0.64,0.0789
113.995,0.765,0.578,4.04E-06,0.12,0.642
139.987,0.751,0.321,0.00223,0.145,0.0396
178.043,0.823,0.703,1.35E-06,0.294,0.26
161.856,0.311,0.637,5.20E-06,0.11,0.197
162.92,0.735,0.613,0,0.103,0.666
143.043,0.867,0.517,0,0.31,0.271
118.018,0.873,0.443,0,0.11,0.259
142.057,0.756,0.382,3.80E-06,0.122,0.419
155.034,0.524,0.84,0,0.154,0.0397
132,0.828,0.767,0.0242,0.119,0.504
162.13,0.539,0.516,0,0.11,0.321
200.072,0.401,0.736,0.0571,0.198,0.301
140.054,0.848,0.461,6.92E-05,0.0937,0.29
140.068,0.55,0.469,0.000113,0.554,0.0374
140.012,0.9,0.5,0.00111,0.112,0.0666
145.035,0.666,0.625,0,0.058,0.11
210.106,0.787,0.575,7.09E-06,0.138,0.0399
155.065,0.729,0.815,0.00683,0.153,0.286
140.919,0.752,0.539,0,0.324,0.366
169.97,0.685,0.82,0.000313,0.651,0.29
160.09,0.393,0.86,0,0.331,0.603
141.934,0.727,0.351,0.89,0.101,0.165
156.442,0.629,0.51,0,0.132,0.345
136.047,0.578,0.705,0.000399,0.0822,0.333
130.019,0.7,0.825,0.798,0.107,0.115
159.736,0.523,0.558,0.00687,0.103,0.0757
140.07,0.671,0.676,0,0.0674,0.343
140.132,0.756,0.453,0,0.632,0.114
119.988,0.598,0.318,0,0.319,0.0819
115.039,0.973,0.446,1.75E-05,0.121,0.265
144.983,0.631,0.67,0.138,0.358,0.0611
120.336,0.692,0.401,0.000932,0.0722,0.33
219.95,0.572,0.613,0.000239,0.204,0.5
128.209,0.546,0.53,0,0.0955,0.227
190.036,0.517,0.685,0.0133,0.0713,0.231
120,0.792,0.754,0.000863,0.165,0.251
146.966,0.545,0.631,0.611,0.215,0.217
183.529,0.544,0.812,0,0.481,0.678
116.014,0.618,0.217,0.000163,0.538,0.0872
169.033,0.672,0.588,0.241,0.0992,0.204
138.974,0.698,0.792,1.06E-06,0.124,0.637
111.97,0.737,0.354,0.000102,0.111,0.0962
145.024,0.777,0.871,0,0.521,0.848
125.996,0.861,0.701,0,0.0675,0.518
125.948,0.428,0.754,0,0.136,0.394
155.019,0.664,0.666,0.235,0.0891,0.512
149.936,0.639,0.467,1.33E-05,0.102,0.191
124.996,0.657,0.427,0,0.0715,0.672
140.015,0.713,0.493,0.00134,0.129,0.178
159.921,0.652,0.563,0.00573,0.0801,0.106
164.066,0.648,0.586,0,0.174,0.18
145.005,0.531,0.522,0.00383,0.185,0.246
199.938,0.834,0.26,0.0376,0.114,0.175
133.055,0.665,0.465,0,0.0952,0.141
179.882,0.632,0.629,0,0.344,0.207
190.002,0.673,0.258,0.634,0.0919,0.112
153.97,0.634,0.527,1.79E-06,0.334,0.229
135.064,0.719,0.387,0,0.114,0.17
211.994,0.534,0.583,0,0.421,0.145
145,0.607,0.685,0,0.12,0.635
142.155,0.531,0.522,0,0.149,0.154
129.942,0.633,0.679,0,0.181,0.239
177.97,0.889,0.46,0.000705,0.0917,0.784
119.894,0.655,0.555,0.0988,0.498,0.068
